Date,Ref Price,CE Strike,CE Entry,CE SL Level,CE Exit,CE PnL,PE Strike,PE Entry,PE SL Level,PE Exit,PE PnL,Total PnL,CE Status,PE Status,CE pct,PE pct,CE pct.1,PE pct.1,net pnl,cum pnl,CE_Qty_BTC,PE_Qty_BTC,CE_Entry_Fee_pct,PE_Entry_Fee_pct,CE_Exit_Fee_pct,PE_Exit_Fee_pct,Total_Commissions_pct,True_Net_PnL_After_Fees
2025-01-01 00:00:00,93921,C-BTC-97600-010125,47,188,1,46,P-BTC-90400-010125,49,196,1,48,94,TP Hit,TP Hit,0.978723404,0.979591837,1,1,2,2,0.021,0.02,0.0407631,0.040474,0.0008673,0.000826,0.0829304,1.9170696
2025-01-02 00:00:00,94354.2,C-BTC-96000-020125,113,452,452,-339,P-BTC-91400-020125,32,128,1,31,-308,SL Hit,TP Hit,-3,0.96875,-3,1,-2,0,0.009,0.031,0.0420021,0.0409696,0.10020416,0.0012803,0.18445616,-2.18445616
2025-01-03 00:00:00,97257.8,C-BTC-99000-030125,195,780,1,194,P-BTC-95000-030125,105,420,1,104,298,TP Hit,TP Hit,0.994871795,0.99047619,1,1,2,2,0.005,0.01,0.0402675,0.043365,0.0002065,0.000413,0.084252,1.915748
2025-01-04 00:00:00,98662,C-BTC-101200-040125,36,144,1,35,P-BTC-96000-040125,30,120,1,29,64,TP Hit,TP Hit,0.972222222,0.966666667,1,1,2,4,0.028,0.033,0.0416304,0.040887,0.0011564,0.0013629,0.0850367,1.9149633
2025-01-05 00:00:00,97983.9,C-BTC-99600-050125,40,160,1,39,P-BTC-97000-050125,53.2,212.8,1,52.2,91.2,TP Hit,TP Hit,0.975,0.981203008,1,1,2,6,0.025,0.019,0.0413,0.04174604,0.0010325,0.0007847,0.08486324,1.91513676
2025-01-06 00:00:00,97884.4,C-BTC-99400-060125,93,372,372,-279,P-BTC-95800-060125,40,160,1,39,-240,SL Hit,TP Hit,-3,0.975,-3,1,-2,4,0.011,0.025,0.0422499,0.0413,0.127053951,0.0010325,0.211636351,-2.211636351
2025-01-07 00:00:00,101714.4,C-BTC-104800-070125,49,196,1,48,P-BTC-99000-070125,69,276,1,68,116,TP Hit,TP Hit,0.979591837,0.985507246,1,1,2,6,0.02,0.014,0.040474,0.0398958,0.000826,0.0005782,0.081774,1.918226
2025-01-08 00:00:00,96838.8,C-BTC-98600-080125,154,616,1,153,P-BTC-94400-080125,88,352,1,87,240,TP Hit,TP Hit,0.993506494,0.988636364,1,1,2,8,0.006,0.011,0.0381612,0.0399784,0.0002478,0.0004543,0.0788417,1.9211583
2025-01-09 00:00:00,94322.4,C-BTC-98000-090125,53,212,1,52,P-BTC-92000-090125,169,676,1,168,220,TP Hit,TP Hit,0.981132075,0.99408284,1,1,2,10,0.019,0.006,0.0415891,0.0418782,0.0007847,0.0002478,0.0844998,1.9155002
2025-01-10 00:00:00,92864.3,C-BTC-96000-100125,54,216,1,53,P-BTC-89000-100125,50,200,1,49,102,TP Hit,TP Hit,0.981481481,0.98,1,1,2,12,0.019,0.02,0.0423738,0.0413,0.0007847,0.000826,0.0852845,1.9147155
